word,meaning,synonym1,synonym2,antonym1,antonym2,example_sentence
aesthetic,concerned with beauty and artistic taste,artistic,beautiful,ugly,unattractive,The garden had great aesthetic appeal with its colourful flowers.
affable,friendly and easy to talk to,friendly,amiable,unfriendly,hostile,The affable shopkeeper always greeted customers with a smile.
affectionate,showing love and care,loving,caring,cold,indifferent,The affectionate puppy licked everyone's faces with joy.
affinity,a natural liking or connection with someone or something,connection,attraction,aversion,dislike,She felt an affinity with nature and loved spending time outdoors.
affirmation,a statement of support or agreement,confirmation,declaration,denial,rejection,His affirmation of her talent gave her confidence to continue.
affliction,a cause of pain or suffering,suffering,hardship,comfort,relief,The poor family faced many afflictions but never lost hope.
affluent,having a lot of money or wealth,wealthy,rich,poor,impoverished,The affluent neighbourhood had large houses and beautiful gardens.
aggressor,someone who attacks or starts a conflict,attacker,assailant,defender,protector,The aggressor was quickly stopped by the playground supervisor.
aghast,shocked and horrified,horrified,stunned,calm,composed,She was aghast when she saw the mess in the kitchen.
agitated,worried and unable to stay calm,anxious,restless,calm,relaxed,The agitated cat paced back and forth in its cage.
agnostic,uncertain whether God exists,doubter,sceptic,believer,faithful,He described himself as agnostic rather than religious.
agonising,causing great pain or distress,painful,excruciating,pleasant,painless,The agonising wait for the exam results seemed endless.
agreeable,pleasant and willing to agree,pleasant,likeable,disagreeable,unpleasant,She found her new classmates to be very agreeable and kind.
ailment,a minor illness or health problem,illness,complaint,health,wellness,The herbal tea was said to cure many common ailments.
alacrity,quick and cheerful readiness,eagerness,enthusiasm,reluctance,hesitation,She accepted the invitation with alacrity and arrived early.
albeit,although or even though,although,though,because,since,He finished the race albeit with great difficulty.
alibi,proof that someone was elsewhere when a crime happened,excuse,defence,accusation,guilt,The suspect had a solid alibi for the time of the robbery.
alienate,to make someone feel isolated or unfriendly,estrange,isolate,unite,connect,His rude behaviour began to alienate his friends.
allay,to reduce fear or worry,ease,calm,increase,worsen,The teacher's kind words helped to allay her fears about the test.
alleviate,to make pain or suffering less severe,ease,relieve,worsen,aggravate,The medicine helped to alleviate her headache.
alluring,very attractive and tempting,attractive,enticing,repulsive,unappealing,The alluring smell of fresh bread filled the bakery.
allusion,an indirect reference to something,reference,hint,statement,declaration,The poem contained an allusion to a famous Greek myth.
aloof,distant and unfriendly,distant,detached,friendly,sociable,The new student seemed aloof and rarely spoke to anyone.
altercation,a noisy argument or disagreement,argument,quarrel,agreement,harmony,A loud altercation broke out between the two neighbours.
altitude,the height above sea level,height,elevation,depth,lowness,The plane flew at a high altitude above the clouds.
altruistic,caring more about others than yourself,selfless,unselfish,selfish,self-centred,Her altruistic nature led her to volunteer at the shelter.
amateur,someone who does something for enjoyment not money,beginner,novice,professional,expert,The amateur artist entered her first painting competition.
ambiguous,having more than one possible meaning,unclear,vague,clear,definite,His ambiguous answer left everyone confused about his intentions.
ambition,a strong desire to achieve something,aspiration,goal,apathy,indifference,Her ambition was to become a doctor and help people.
ambivalence,having mixed feelings about something,uncertainty,indecision,certainty,conviction,She felt ambivalence about moving to a new city.
ambles,walks at a slow relaxed pace,strolls,wanders,rushes,hurries,The old dog ambles through the park every morning.
ambling,walking slowly and without hurry,strolling,wandering,rushing,hurrying,We spent the afternoon ambling along the riverbank.
amend,to change or improve something,correct,improve,damage,worsen,The student was allowed to amend her essay before the final deadline.
amiable,friendly and pleasant,friendly,likeable,unfriendly,hostile,The amiable host made all the guests feel welcome.
amicable,done in a friendly way without argument,friendly,peaceful,hostile,unfriendly,The neighbours reached an amicable agreement about the fence.
amorphous,without a clear shape or form,shapeless,formless,shaped,defined,The amorphous blob of clay was waiting to be sculpted.
amphibian,an animal that can live on land and in water,frog,toad,mammal,bird,The frog is an amphibian that begins life as a tadpole.
amply,more than enough or generously,generously,sufficiently,barely,scarcely,The reward amply compensated him for his hard work.
amusing,causing laughter or entertainment,funny,entertaining,boring,dull,The clown's amusing tricks made all the children laugh.
anagram,a word made by rearranging letters of another word,puzzle,word game,original,unchanged,The word 'listen' is an anagram of 'silent'.
analogy,a comparison between two similar things,comparison,parallel,contrast,difference,The teacher used an analogy to explain the difficult concept.
anarchist,someone who believes there should be no government,rebel,revolutionary,conformist,loyalist,The anarchist protested against all forms of authority.
androgynous,having both male and female characteristics,unisex,neutral,masculine,feminine,The androgynous fashion style appealed to many young people.
anecdote,a short amusing or interesting story,story,tale,novel,epic,He entertained the guests with an anecdote about his travels.
anguish,severe mental or physical pain,agony,distress,comfort,relief,She felt great anguish when she heard the sad news.
animosity,strong hostility or hatred,hostility,hatred,friendship,goodwill,There was animosity between the rival football teams.
annihilated,completely destroyed,destroyed,obliterated,created,preserved,The earthquake annihilated the village in seconds.
anomaly,something different from what is normal,irregularity,exception,norm,standard,The warm winter day was an anomaly in the usually cold season.
antagonistic,showing opposition or hostility,hostile,aggressive,friendly,supportive,His antagonistic attitude made it hard to work with him.
antagonize,to make someone angry or hostile,provoke,annoy,please,soothe,She did not want to antagonize her brother before the trip.
antidote,a medicine that stops poison from working,remedy,cure,poison,toxin,The doctor gave the patient an antidote for the snake bite.
antipathy,a strong feeling of dislike,dislike,aversion,liking,attraction,She felt antipathy towards people who were unkind to animals.
antiquated,old-fashioned and no longer useful,outdated,obsolete,modern,current,The antiquated computer system needed to be replaced.
antiquity,ancient times long ago,ancient times,olden days,modernity,present,The museum displayed artefacts from antiquity.
antithesis,the exact opposite of something,opposite,reverse,same,equivalent,His calm manner was the antithesis of her nervous energy.
antonym,a word that means the opposite of another word,opposite,reverse,synonym,equivalent,The antonym of 'happy' is 'sad'.
anxious,worried or nervous about something,worried,nervous,calm,relaxed,She felt anxious before her first day at the new school.
apathetic,showing no interest or enthusiasm,indifferent,uncaring,enthusiastic,passionate,The apathetic crowd showed no reaction to the speech.
apathy,lack of interest or enthusiasm,indifference,unconcern,enthusiasm,passion,His apathy towards schoolwork worried his parents.
aped,copied or imitated someone,copied,mimicked,originated,invented,The young actor aped the mannerisms of his favourite star.
apex,the highest point or peak,peak,summit,base,bottom,The climber reached the apex of the mountain at noon.
aphorism,a short clever saying expressing a truth,saying,maxim,rambling,explanation,The wise aphorism reminded us that time waits for no one.
apoplectic,extremely angry,furious,enraged,calm,placid,He was apoplectic when he discovered his car had been scratched.
apparition,a ghost or ghostly figure,ghost,phantom,reality,substance,The old castle was said to be haunted by a pale apparition.
appeal,a request for help or a quality that attracts,request,attraction,repulsion,rejection,The charity made an appeal for donations to help the homeless.
appearance,the way someone or something looks,look,aspect,disappearance,absence,Her neat appearance impressed the interviewers.
appease,to calm someone by giving them what they want,pacify,placate,provoke,anger,She tried to appease the crying child with a biscuit.
apprehension,fear or anxiety about something,fear,anxiety,confidence,assurance,He felt apprehension about starting his new job.
apprehensive,worried or fearful about something,anxious,worried,confident,assured,She was apprehensive about speaking in front of the class.
apprise,to inform someone about something,inform,notify,conceal,hide,The manager apprised the team of the new schedule.
approve,to officially agree to or accept something,accept,endorse,reject,disapprove,The council voted to approve the new playground plans.
arbitrary,based on random choice rather than reason,random,chance,reasoned,deliberate,The teacher's arbitrary decision upset many students.
archaic,very old or old-fashioned,ancient,outdated,modern,contemporary,The archaic language in the book was hard to understand.
ardour,great enthusiasm or passion,passion,enthusiasm,indifference,apathy,He pursued his hobby with great ardour and dedication.
arduous,requiring great effort and energy,difficult,hard,easy,simple,The arduous climb up the mountain took several hours.
argument,a reason given for or against something,debate,dispute,agreement,harmony,They had a loud argument about who should do the washing up.
arid,very dry with little rainfall,dry,parched,wet,moist,The desert was an arid landscape with no trees or plants.
aroma,a pleasant distinctive smell,scent,fragrance,stench,odour,The aroma of freshly baked bread filled the kitchen.
arouse,to cause a feeling or reaction,awaken,stir,suppress,calm,The exciting news aroused great interest among the students.
array,an impressive display or range of things,display,collection,single item,individual,The shop had an amazing array of colourful sweets.
arrogance,having an exaggerated sense of importance,conceit,pride,humility,modesty,His arrogance made it difficult for him to make friends.
artful,clever and skilful in a cunning way,crafty,cunning,artless,naive,The artful fox tricked the crow into dropping its cheese.
article,a piece of writing or an individual thing,item,piece,collection,whole,She wrote an article about recycling for the school newspaper.
articulate,able to express ideas clearly,eloquent,expressive,inarticulate,unclear,The articulate speaker captivated the audience with her words.
artisan,a skilled worker who makes things by hand,craftsman,craftsperson,amateur,novice,The artisan created beautiful pottery by hand.
ascendancy,a position of power or dominance,dominance,supremacy,subordination,inferiority,The team gained ascendancy over their rivals after the win.
ascent,the act of climbing or going up,climb,rise,descent,fall,The ascent of the mountain was steep and challenging.
ascetic,living a simple life without luxuries,austere,spartan,luxurious,indulgent,The monk lived an ascetic life in the mountains.
askance,with a look of suspicion or disapproval,suspiciously,doubtfully,trustingly,approvingly,She looked askance at the strange offer from the stranger.
aspiration,a strong hope or ambition,ambition,goal,apathy,indifference,Her aspiration was to become an astronaut one day.
aspire,to have a strong desire to achieve something,aim,strive,give up,abandon,Many young athletes aspire to compete in the Olympics.
assemble,to gather together or put together,gather,collect,scatter,disperse,The students began to assemble in the school hall.
assented,agreed to something,agreed,consented,refused,disagreed,After much discussion everyone assented to the new plan.
assiduous,showing great care and hard work,diligent,thorough,lazy,careless,Her assiduous study habits helped her achieve top grades.
assistance,help or support,help,aid,hindrance,obstruction,The kind stranger offered assistance when her car broke down.
assuage,to make an unpleasant feeling less severe,ease,relieve,worsen,aggravate,A cup of tea helped to assuage her worries about the exam.
assumption,something accepted as true without proof,belief,supposition,fact,proof,His assumption that she was angry turned out to be wrong.
astounding,surprisingly impressive or shocking,amazing,astonishing,ordinary,unremarkable,The magician's astounding tricks amazed the audience.
astute,clever and quick to notice things,shrewd,perceptive,naive,foolish,The astute detective quickly solved the mystery.
asunder,apart or into pieces,apart,separated,together,joined,The storm tore the old shed asunder in minutes.
atrocious,extremely bad or cruel,terrible,dreadful,excellent,wonderful,The atrocious weather ruined the school sports day.
attached,joined or connected to something,connected,joined,detached,separate,She was very attached to her old teddy bear.
attempt,to try to do something,try,endeavour,abandon,quit,He made another attempt to break the school record.
attentive,paying careful attention,alert,observant,inattentive,distracted,The attentive student never missed a single detail in class.
attribute,a quality or feature of something,quality,characteristic,lack,absence,Kindness is an attribute that everyone admires.
audacious,bold and daring taking risks,bold,daring,timid,cautious,The audacious rescue attempt saved all the trapped miners.
augment,to make something larger or more significant,increase,enlarge,decrease,reduce,She decided to augment her pocket money by doing extra chores.
augmenting,adding to or increasing something,increasing,adding,decreasing,reducing,The chef was augmenting the flavour by adding fresh herbs.
auspicious,suggesting a good outcome,favourable,promising,unfavourable,ominous,The sunny morning was an auspicious start to the wedding day.
austere,severe and without decoration or luxury,plain,severe,luxurious,ornate,The austere room had only a bed and a small table.
austerity,a state of having very little money or luxury,frugality,severity,abundance,luxury,During the difficult years families lived in austerity.
authentic,genuine and real,genuine,real,fake,counterfeit,The museum displayed an authentic Roman coin.
authoritarian,demanding strict obedience,strict,dictatorial,lenient,permissive,The authoritarian teacher did not allow any talking in class.
autonomous,able to act independently,independent,self-governing,dependent,controlled,The robot was autonomous and could make its own decisions.
available,ready to be used or obtainable,accessible,obtainable,unavailable,inaccessible,The book was available at the local library.
avenge,to take revenge for a wrong done,revenge,retaliate,forgive,pardon,The knight vowed to avenge the wrong done to his family.
aversion,a strong dislike of something,dislike,hatred,liking,attraction,He had an aversion to spiders and could not go near them.
avowed,openly declared or admitted,declared,admitted,hidden,secret,He was an avowed supporter of the environmental movement.
awkward,clumsy or difficult to deal with,clumsy,uncomfortable,graceful,comfortable,There was an awkward silence when nobody knew what to say.
awry,not as planned or expected,wrong,amiss,right,correct,Our picnic plans went awry when it started to rain.
axiom,a statement accepted as true,truth,principle,falsehood,lie,It is an axiom that practice makes perfect.
baleful,threatening harm or evil,menacing,sinister,friendly,benevolent,The witch gave a baleful look to the travellers passing by.
banal,boring because it is so ordinary,boring,dull,interesting,original,His banal remarks added nothing new to the discussion.
banish,to send someone away as a punishment,exile,expel,welcome,admit,The king decided to banish the traitor from the kingdom.
barbarian,a person from an uncivilised society,savage,brute,civilised person,gentleman,The barbarian warriors invaded the peaceful village.
barbaric,extremely cruel and brutal,brutal,savage,civilised,humane,The barbaric treatment of prisoners shocked the world.
bargain,a good deal or agreement between people,deal,agreement,disagreement,overcharge,She found a bargain at the charity shop.
barren,empty and unable to produce anything,infertile,desolate,fertile,productive,The barren land could not grow any crops.
barricade,a barrier to block the way,barrier,obstruction,opening,gap,The protesters built a barricade across the street.
bashful,shy and easily embarrassed,shy,timid,bold,confident,The bashful child hid behind her mother when guests arrived.
beautiful,very pleasing to look at,lovely,attractive,ugly,unattractive,The beautiful garden was full of colourful flowers.
because,for the reason that,since,as,despite,although,She stayed inside because it was raining heavily.
becoming,starting to be or suitable for someone,fitting,appropriate,unsuitable,unbecoming,Her new hairstyle was very becoming and suited her well.
belies,shows something to be false,contradicts,disproves,confirms,proves,His cheerful smile belies his true feelings of sadness.
belittle,to make someone feel unimportant,diminish,demean,praise,compliment,It is unkind to belittle someone's efforts or achievements.
bellicose,eager to fight or argue,aggressive,warlike,peaceful,friendly,The bellicose knight was always ready for battle.
belligerent,hostile and aggressive,hostile,aggressive,peaceful,friendly,The belligerent customer shouted at the shop assistant.
bemoan,to express sadness or regret about something,lament,mourn,celebrate,rejoice,She would often bemoan the loss of her favourite pen.
bemused,confused and puzzled,confused,puzzled,clear,understanding,He looked bemused when asked to explain the rules of the game.
benefit,an advantage or helpful thing that improves a situation,advantage,gain,disadvantage,drawback,Regular exercise has many benefits for your health.
benevolent,kind and helpful,kind,generous,cruel,unkind,The benevolent queen helped all the poor people in her kingdom.
benign,gentle and kind or not harmful,harmless,gentle,harmful,malignant,The benign old man always had sweets for the children.
bequeath,to leave something to someone in a will,leave,hand down,take,withhold,He decided to bequeath his book collection to the library.
berate,to scold someone angrily,scold,reprimand,praise,compliment,The coach would berate the players for not trying hard enough.
bereft,lacking something or feeling great loss,deprived,lacking,full,abundant,She felt bereft of hope after hearing the bad news.
besieged,surrounded by enemies or overwhelmed,surrounded,overwhelmed,freed,relieved,The castle was besieged by the enemy army for months.
betray,to be disloyal to someone who trusts you,deceive,double-cross,support,protect,He would never betray his best friend's secret.
between,in the space separating two things,amid,among,outside,beyond,The ball rolled between the two garden chairs.
beverage,a drink other than water,drink,refreshment,food,meal,Tea is the most popular hot beverage in Britain.
bewilder,to confuse someone completely,confuse,puzzle,clarify,explain,The complicated instructions bewildered everyone in the class.
bewildered,completely confused,confused,perplexed,clear,certain,The bewildered tourist could not find his way to the station.
biased,unfairly favouring one side,prejudiced,partial,fair,impartial,The biased referee made several unfair decisions.
bickering,arguing about small unimportant things,arguing,squabbling,agreeing,harmonising,The siblings were always bickering about whose turn it was.
bicycle,a vehicle with two wheels that you pedal,bike,cycle,car,vehicle,She rode her bicycle to school every morning.
bipartisan,supported by two political parties,cross-party,joint,partisan,one-sided,The bipartisan agreement was supported by both parties.
bittersweet,happy and sad at the same time,mixed,poignant,pure,simple,Leaving school was a bittersweet moment for the students.
blasphemy,disrespectful talk about religion,profanity,sacrilege,reverence,respect,Speaking badly of sacred things was considered blasphemy.
blatant,very obvious and intentional,obvious,glaring,subtle,hidden,It was a blatant lie that nobody believed for a moment.
bleats,the crying sound a sheep makes,cries,calls,silence,quiet,The lamb bleats loudly when it is hungry.
blissful,extremely happy,joyful,ecstatic,miserable,unhappy,They spent a blissful afternoon playing in the sunshine.
blossom,a flower on a tree or to develop,bloom,flower,wilt,fade,The apple trees were covered in pink blossom in spring.
bludgeon,a heavy club or to hit with force,club,beat,caress,stroke,The villain tried to bludgeon his way through the door.
boastful,bragging about oneself,arrogant,conceited,modest,humble,Nobody liked his boastful comments about his achievements.
boisterous,noisy and energetic,rowdy,lively,quiet,calm,The boisterous children ran around the playground shouting.
bolster,to support or strengthen,support,reinforce,weaken,undermine,Extra practice helped to bolster her confidence before the exam.
braggart,someone who boasts a lot,boaster,show-off,modest person,humble person,The braggart could not stop talking about his achievements.
brandish,to wave something as a threat,wave,flourish,hide,conceal,The knight brandished his sword at the approaching enemy.
brazen,bold and shameless,bold,shameless,shy,ashamed,Her brazen behaviour shocked everyone at the party.
breach,to break through or a gap,break,violation,repair,fix,The flood caused a breach in the river bank.
breadth,the width or extent of something,width,extent,narrowness,length,The breadth of his knowledge impressed the teachers.
brevity,shortness or briefness,shortness,conciseness,length,wordiness,The brevity of his speech surprised everyone.
britain,the island containing England Scotland and Wales,UK,Great Britain,abroad,overseas,Britain is known for its rainy weather.
brooding,thinking deeply about something worrying,pondering,contemplating,cheerful,carefree,He sat in brooding silence after receiving the bad news.
bruise,an injury that discolours the skin,mark,contusion,heal,cure,She got a bruise on her knee when she fell over.
brusque,abrupt and unfriendly in manner,curt,abrupt,polite,friendly,His brusque reply offended the customer.
buckle,a metal clasp for a belt or to bend,clasp,fasten,unbuckle,straighten,The weight of the books made the shelf buckle in the middle.
bumbling,clumsy and confused,clumsy,awkward,graceful,competent,The bumbling waiter dropped three plates during dinner.
buoyant,able to float or cheerful,floating,cheerful,sinking,depressed,The cork was buoyant and floated on the water.
burden,a heavy load or responsibility,load,weight,relief,ease,Carrying all those books was a heavy burden for the small child.
burgeon,to grow or develop rapidly,flourish,thrive,decline,wither,New shops began to burgeon in the town centre.
bustling,full of busy activity,busy,lively,quiet,deserted,The bustling market was full of people buying and selling.
buttress,a support for a wall or to strengthen,support,reinforce,weaken,undermine,The flying buttress supported the ancient cathedral walls.
cacophony,a harsh mixture of sounds,noise,din,harmony,melody,The cacophony of car horns filled the busy street.
cajole,to persuade someone by flattery,persuade,coax,force,demand,She tried to cajole her parents into letting her stay up late.
calamity,a disaster or terrible event,disaster,catastrophe,blessing,fortune,The flood was a calamity that destroyed many homes.
callous,cruel and unfeeling,heartless,unfeeling,caring,compassionate,His callous remarks about her mistake were hurtful.
callow,young and inexperienced,inexperienced,naive,experienced,mature,The callow youth had much to learn about life.
camaraderie,friendship among a group,friendship,companionship,hostility,rivalry,There was great camaraderie among the team members.
candid,honest and direct,honest,frank,dishonest,evasive,She gave a candid answer to the difficult question.
candidate,a person seeking a job or position,applicant,contender,incumbent,holder,Three candidates applied for the teaching position.
candour,honesty and openness,honesty,frankness,dishonesty,deceit,She spoke with candour about her mistakes.
cantankerous,bad-tempered and argumentative,grumpy,irritable,pleasant,agreeable,The cantankerous old man complained about everything.
capacious,having a lot of space inside,spacious,roomy,cramped,small,Her capacious bag held all her books and lunch.
capricious,changing mood or behaviour suddenly,unpredictable,fickle,steady,constant,The capricious weather changed from sunny to stormy in minutes.
captivating,very attractive and interesting,fascinating,enchanting,boring,dull,The captivating story kept everyone reading until midnight.
careering,moving fast in an uncontrolled way,rushing,hurtling,crawling,stopping,The car came careering down the hill out of control.
caricature,an exaggerated drawing or description,cartoon,parody,portrait,likeness,The artist drew a caricature of the politician with a huge nose.
cascade,a waterfall or to flow down,waterfall,torrent,trickle,drip,Water began to cascade down the rocky cliff.
catastrophe,a sudden disaster,disaster,calamity,triumph,success,The earthquake was a catastrophe for the small village.
category,a group of similar things,group,class,individual,single,The books were sorted into different categories.
cathartic,providing relief from strong emotions,releasing,therapeutic,suppressing,restraining,Crying can be cathartic when you are very upset.
caulking,material used to seal gaps,sealant,filler,gap,hole,The caulking around the window stopped draughts coming in.
cavorting,jumping around playfully,frolicking,prancing,standing still,resting,The lambs were cavorting in the spring meadow.
celestial,relating to the sky or heaven,heavenly,divine,earthly,terrestrial,The celestial bodies shone brightly in the night sky.
cemetery,a place where dead people are buried,graveyard,burial ground,birthplace,home,The old cemetery was full of ancient gravestones.
censure,to criticise strongly,criticise,condemn,praise,approve,The committee voted to censure the member for his behaviour.
certitude,complete certainty,certainty,confidence,doubt,uncertainty,She spoke with certitude about the facts of the case.
challenging,difficult in a way that tests ability,difficult,demanding,easy,simple,The challenging puzzle took hours to complete.
chameleon,a lizard that changes colour,lizard,reptile,mammal,bird,The chameleon changed colour to match the green leaves.
charismatic,charming and inspiring to others,charming,compelling,dull,uninspiring,The charismatic leader inspired everyone to work harder.
charlatan,a person who pretends to have skills,fraud,impostor,expert,genuine,The charlatan claimed to be a doctor but had no qualifications.
charming,very pleasant and likeable,delightful,enchanting,unpleasant,repulsive,The charming village attracted many tourists.
charred,burned and blackened,burned,scorched,unburned,fresh,The charred remains of the bonfire lay in the garden.
chastised,scolded or punished,scolded,rebuked,praised,rewarded,The child was chastised for breaking the window.
chauvinist,someone with excessive loyalty to their group,bigot,partisan,open-minded,tolerant,The chauvinist refused to consider other viewpoints.
cherished,loved and valued greatly,treasured,valued,neglected,abandoned,She cherished the photo of her grandmother.
chicanery,trickery and deception,trickery,deception,honesty,fairness,The salesman used chicanery to sell faulty products.
chivalrous,courteous and honourable,gallant,courteous,rude,dishonourable,The chivalrous knight helped the lady onto her horse.
choreographer,a person who creates dance routines,dancer,designer,performer,actor,The choreographer created a beautiful dance for the show.
chortle,a happy laughing sound,chuckle,laugh,cry,sob,She gave a chortle of delight when she heard the joke.
chronicle,a record of events in order,record,account,fiction,fantasy,The book was a chronicle of the king's reign.
chronology,the order in which events happened,timeline,sequence,disorder,chaos,The historian studied the chronology of the war.
clamber,to climb awkwardly,climb,scramble,descend,fall,The children had to clamber over the rocks to reach the beach.
clamour,a loud noise or demand,noise,uproar,silence,quiet,There was a clamour of voices in the crowded market.
clemency,mercy or leniency,mercy,leniency,harshness,severity,The prisoner begged for clemency from the judge.
clement,mild and pleasant weather,mild,gentle,harsh,severe,The clement weather made it perfect for a picnic.
cliché,an overused phrase or idea,stereotype,platitude,original,novelty,The speech was full of clichés that everyone had heard before.
coarse,rough in texture or rude in manner,rough,crude,smooth,refined,The coarse sand scratched her bare feet.
coerce,to force someone to do something,force,compel,persuade,allow,Nobody should coerce you into doing something wrong.
coercion,forcing someone to do something,force,pressure,freedom,choice,The confession was obtained through coercion.
coherent,logical and easy to understand,logical,clear,incoherent,confused,She gave a coherent explanation of the problem.
coincidence,two things happening at the same time by chance,chance,accident,plan,design,It was a coincidence that they both wore the same dress.
collaborate,to work together with others,cooperate,partner,compete,oppose,The two scientists decided to collaborate on the research.
colloquial,informal everyday language,informal,casual,formal,literary,The book used colloquial language that children could understand.
combat,fighting or to fight against,battle,fight,peace,surrender,The soldiers trained for combat in the desert.
comforting,giving comfort and reassurance,soothing,reassuring,distressing,upsetting,Her comforting words helped him feel better.
comical,funny and amusing,funny,amusing,serious,tragic,The clown's comical performance made everyone laugh.
commemorate,to honour the memory of something,honour,celebrate,forget,ignore,The statue was built to commemorate the fallen soldiers.
