word,assigned_level,short_reason,sources,difficulty_score
Accessible,level4,"frequency: low‑frequency, high‑level vocabulary; concept: highly nuanced or abstract; structure: “-ible” ending makes it more multi-syllable; nuance: subtle register and connotations; easy to misuse",ExamNinja,3.5
Acclaim,level1,"frequency: very common in everyday speech; concept: clear and concrete; structure: not difficult to spell, but longer than everyday words; nuance: meaning is rarely confused",TrickyList2024|ExamNinja,2.0
Accolade,level2,"frequency: seen regularly, though slightly less everyday | concept: mostly clear, with a slightly broader meaning | structure: medium length with more to sound out | nuance: sometimes overlaps with similar words",ExamNinja,2.75
Accusatory,level3,frequency: more bookish and not used daily; concept: precise meaning used in careful writing; structure: multi-syllable form that needs careful pronunciation; nuance: used for precise shades of meaning,11PlusSuccess2019-2020|ExamNinja,3.25
Accuse,level1,frequency: often heard and read by children; concept: simple meaning tied to everyday situations; structure: medium length with more to sound out; nuance: meaning is rarely confused,11PlusGuideY5-6|ExamNinja,2.0
Accustom,level2,"frequency: seen regularly, though slightly less everyday — concept: understandable but can vary by context — structure: medium length with more to sound out — nuance: can be used figuratively as well as literally",11PlusGuideY5-6|ExamNinja,2.75
Acerbic,level2,"frequency: seen regularly, though slightly less everyday — concept: moderately abstract compared with basic words — structure: has the suffix “-ic”, which often appears in formal vocabulary — nuance: sometimes overlaps w",ExamNinja,2.25
Acquainted,level3,frequency: relatively uncommon outside reading and lessons — concept: abstract or specialised idea — structure: multi-syllable form that needs careful pronunciation — nuance: used for precise shades of meaning,11PlusGuideY5-6|11PlusSuccess2019-2020|ExamNinja,3.25
Acquiescence,level4,"frequency: low‑frequency, high‑level vocabulary — concept: subtle meaning that depends strongly on context — structure: “-ence” ending makes it more multi-syllable — nuance: strong connotation and precise usage expected",ExamNinja,4.0
Acquire,level1,"frequency: high‑use everyday word; concept: easy, straightforward idea; structure: medium length with more to sound out; nuance: meaning is rarely confused",11PlusGuideY5-6|ExamNinja,2.0
Acrimonious,level4,"frequency: uncommon and quite formal | concept: sophisticated idea that needs careful interpretation | structure: has the suffix “-ous”, which often appears in formal vocabulary | nuance: meaning can be delicate and cont",ExamNinja,3.5
Acronym,level2,"frequency: common, but not constant in daily talk | concept: mostly clear, with a slightly broader meaning | structure: not difficult to spell, but longer than everyday words | nuance: sometimes overlaps with similar wor",ExamNinja,2.25
Acute,level1,frequency: high‑use everyday word; concept: simple meaning tied to everyday situations; structure: medium length with more to sound out; nuance: usually literal and unambiguous,ExamNinja,1.75
Adamant,level2,"frequency: common, but not constant in daily talk | concept: understandable but can vary by context | structure: longer spelling and likely more syllables | nuance: sometimes overlaps with similar words",TrickyList2024,2.25
Adequately,level3,frequency: less common; often appears in formal writing | concept: abstract or specialised idea | structure: long and multi-syllable | nuance: often used in a particular register (formal/precise),ExamNinja,3.25
Adhere,level1,frequency: very common in everyday speech | concept: clear and concrete | structure: medium length with more to sound out | nuance: meaning is rarely confused,"11PlusGuideY5-6,TrickyList2024|ExamNinja",2.0
Adherent,level3,frequency: relatively uncommon outside reading and lessons — concept: more nuanced than a simple everyday term — structure: longer spelling and likely more syllables — nuance: often used in a particular register (formal/,11PlusSuccess2019-2020|ExamNinja,3.0
Adjacent,level3,frequency: less common; often appears in formal writing — concept: precise meaning used in careful writing — structure: longer spelling and likely more syllables — nuance: can be confused with near‑synonyms if used loose,ExamNinja,3.0
Adjourn,level1,"frequency: high‑use everyday word; concept: easy, straightforward idea; structure: not difficult to spell, but longer than everyday words; nuance: used in a straightforward way",11PlusSuccess2019-2020|ExamNinja,2.0
Admirable,level3,"frequency: less common; often appears in formal writing | concept: abstract or specialised idea | structure: ends with “-able”, a common but longer word ending | nuance: used for precise shades of meaning",TrickyList2024|ExamNinja,3.0
Admission,level3,"frequency: relatively uncommon outside reading and lessons | concept: precise meaning used in careful writing | structure: ends with “-sion”, a common but longer word ending | nuance: used for precise shades of meaning",11PlusGuideY5-6|ExamNinja,3.25
Adopt,level1,frequency: often heard and read by children | concept: simple meaning tied to everyday situations | structure: few syllables and easy to decode | nuance: used in a straightforward way,11PlusGuideY5-6|ExamNinja,1.75
Adore,level1,"frequency: very common in everyday speech | concept: clear and concrete | structure: not difficult to spell, but longer than everyday words | nuance: meaning is rarely confused",ExamNinja,1.75
Adorn,level1,frequency: high‑use everyday word | concept: clear and concrete | structure: few syllables and easy to decode | nuance: meaning is rarely confused,TrickyList2024,1.75
Adulation,level4,"frequency: uncommon and quite formal; concept: subtle meaning that depends strongly on context; structure: ends with “-tion”, a common but longer word ending; nuance: strong connotation and precise usage expected",ExamNinja,3.5
Advance,level2,"frequency: seen regularly, though slightly less everyday — concept: moderately abstract compared with basic words — structure: “-ance” ending makes it more multi-syllable — nuance: meaning shifts slightly across contexts",11PlusGuideY5-6|ExamNinja,2.5
Adventurous,level4,"frequency: uncommon and quite formal | concept: subtle meaning that depends strongly on context | structure: has the suffix “-ous”, which often appears in formal vocabulary | nuance: strong connotation and precise usage",TrickyList2024,3.5
Adversary,level3,"frequency: more bookish and not used daily | concept: more nuanced than a simple everyday term | structure: ends with “-ary”, a common but longer word ending | nuance: can be confused with near‑synonyms if used loosely",11PlusSuccess2019-2020|ExamNinja,3.25
Adverse,level1,frequency: high‑use everyday word | concept: simple meaning tied to everyday situations | structure: medium length with more to sound out | nuance: used in a straightforward way,ExamNinja,2.0
Aesthetic,level3,"frequency: more bookish and not used daily — concept: precise meaning used in careful writing — structure: has the suffix “-ic”, which often appears in formal vocabulary — nuance: used for precise shades of meaning",ExamNinja,3.0
Affable,level1,"frequency: very common in everyday speech — concept: simple meaning tied to everyday situations — structure: has the suffix “-able”, which often appears in formal vocabulary — nuance: meaning is rarely confused",11PlusGuideY5-6|11PlusSuccess2019-2020|ExamNinja,2.0
Affectionate,level3,frequency: less common; often appears in formal writing | concept: precise meaning used in careful writing | structure: long and multi-syllable | nuance: often used in a particular register (formal/precise),11PlusGuideY5-6|ExamNinja,3.25
Affinity,level4,frequency: uncommon and quite formal | concept: highly nuanced or abstract | structure: “-ity” ending makes it more multi-syllable | nuance: meaning can be delicate and context‑dependent,ExamNinja,3.5
Affirmation,level4,"frequency: rare; mainly found in advanced or academic texts; concept: sophisticated idea that needs careful interpretation; structure: ends with “-tion”, a common but longer word ending; nuance: strong connotation and pr",ExamNinja,4.0
Affliction,level4,"frequency: low‑frequency, high‑level vocabulary; concept: highly nuanced or abstract; structure: ends with “-tion”, a common but longer word ending; nuance: subtle register and connotations; easy to misuse",11PlusSuccess2019-2020|ExamNinja,4.0
Affluent,level3,frequency: less common; often appears in formal writing; concept: more nuanced than a simple everyday term; structure: longer spelling and likely more syllables; nuance: often used in a particular register (formal/precis,11PlusSuccess2019-2020|ExamNinja,3.0
Aggressor,level2,frequency: fairly common in books and schoolwork — concept: understandable but can vary by context — structure: “-or” ending makes it more multi-syllable — nuance: meaning shifts slightly across contexts,ExamNinja,2.75
Aghast,level1,"frequency: high‑use everyday word | concept: easy, straightforward idea | structure: short and simple in form | nuance: meaning is rarely confused",11PlusSuccess2019-2020|ExamNinja,2.0
Agitated,level3,frequency: less common; often appears in formal writing — concept: abstract or specialised idea — structure: longer spelling and likely more syllables — nuance: can be confused with near‑synonyms if used loosely,TrickyList2024,3.0
Agnostic,level3,"frequency: more bookish and not used daily; concept: precise meaning used in careful writing; structure: has the suffix “-ic”, which often appears in formal vocabulary; nuance: often used in a particular register (formal",11PlusSuccess2019-2020|ExamNinja,3.0
Agonising,level3,frequency: more bookish and not used daily — concept: abstract or specialised idea — structure: longer spelling and likely more syllables — nuance: often used in a particular register (formal/precise),TrickyList2024,3.0
Agreeable,level3,frequency: less common; often appears in formal writing — concept: precise meaning used in careful writing — structure: “-able” ending makes it more multi-syllable — nuance: used for precise shades of meaning,ExamNinja,3.0
Ailment,level2,"frequency: fairly common in books and schoolwork | concept: moderately abstract compared with basic words | structure: ends with “-ment”, a common but longer word ending | nuance: can be used figuratively as well as lite",TrickyList2024,2.5
Alacrity,level4,frequency: rare; mainly found in advanced or academic texts; concept: subtle meaning that depends strongly on context; structure: “-ity” ending makes it more multi-syllable; nuance: subtle register and connotations; easy,ExamNinja,3.5
Albeit,level1,"frequency: high‑use everyday word; concept: easy, straightforward idea; structure: compact spelling with no tricky affixes; nuance: meaning is rarely confused",ExamNinja,2.0
Alibi,level1,frequency: very common in everyday speech — concept: clear and concrete — structure: longer spelling and likely more syllables — nuance: usually literal and unambiguous,TrickyList2024,2.0
Alienate,level2,"frequency: seen regularly, though slightly less everyday — concept: mostly clear, with a slightly broader meaning — structure: medium length with more to sound out — nuance: can be used figuratively as well as literally",ExamNinja,2.75
Allay,level1,frequency: high‑use everyday word; concept: simple meaning tied to everyday situations; structure: compact spelling with no tricky affixes; nuance: meaning is rarely confused,11PlusSuccess2019-2020|ExamNinja,1.75
Alleviate,level2,frequency: fairly common in books and schoolwork; concept: moderately abstract compared with basic words; structure: longer spelling and likely more syllables; nuance: can be used figuratively as well as literally,11PlusSuccess2019-2020|ExamNinja,2.75
Alluring,level2,frequency: fairly common in books and schoolwork | concept: understandable but can vary by context | structure: longer spelling and likely more syllables | nuance: meaning shifts slightly across contexts,ExamNinja,2.75
Allusion,level3,"frequency: more bookish and not used daily — concept: precise meaning used in careful writing — structure: has the suffix “-sion”, which often appears in formal vocabulary — nuance: used for precise shades of meaning",11PlusSuccess2019-2020|ExamNinja,3.25
Aloof,level1,"frequency: high‑use everyday word | concept: easy, straightforward idea | structure: few syllables and easy to decode | nuance: usually literal and unambiguous",TrickyList2024|ExamNinja,1.75
Altercation,level4,"frequency: uncommon and quite formal; concept: highly nuanced or abstract; structure: has the suffix “-tion”, which often appears in formal vocabulary; nuance: strong connotation and precise usage expected",11PlusSuccess2019-2020|ExamNinja,4.0
Altitude,level3,frequency: relatively uncommon outside reading and lessons | concept: more nuanced than a simple everyday term | structure: longer spelling and likely more syllables | nuance: can be confused with near‑synonyms if used l,11PlusGuideY5-6|ExamNinja,3.0
Altruistic,level4,"frequency: uncommon and quite formal — concept: sophisticated idea that needs careful interpretation — structure: has the suffix “-ic”, which often appears in formal vocabulary — nuance: strong connotation and precise us",11PlusSuccess2019-2020|ExamNinja,3.5
Amateur,level2,"frequency: fairly common in books and schoolwork | concept: mostly clear, with a slightly broader meaning | structure: medium length with more to sound out | nuance: sometimes overlaps with similar words",11PlusSuccess2019-2020|ExamNinja,2.25
Ambiguous,level3,frequency: more bookish and not used daily — concept: more nuanced than a simple everyday term — structure: “-ous” ending makes it more multi-syllable — nuance: can be confused with near‑synonyms if used loosely,TrickyList2024|ExamNinja,3.0
Ambition,level3,"frequency: less common; often appears in formal writing; concept: more nuanced than a simple everyday term; structure: has the suffix “-tion”, which often appears in formal vocabulary; nuance: often used in a particular",11PlusGuideY5-6|ExamNinja,3.25
Ambivalence,level4,"frequency: uncommon and quite formal; concept: sophisticated idea that needs careful interpretation; structure: ends with “-ence”, a common but longer word ending; nuance: strong connotation and precise usage expected",ExamNinja,4.0
Ambles,level1,frequency: often heard and read by children; concept: clear and concrete; structure: short and simple in form; nuance: meaning is rarely confused,11PlusSuccess2019-2020|ExamNinja,2.0
Ambling,level1,frequency: high‑use everyday word — concept: simple meaning tied to everyday situations — structure: medium length with more to sound out — nuance: usually literal and unambiguous,11PlusSuccess2019-2020|ExamNinja,2.0
Amend,level1,"frequency: very common in everyday speech; concept: easy, straightforward idea; structure: short and simple in form; nuance: meaning is rarely confused",ExamNinja,1.75
Amiable,level1,"frequency: high‑use everyday word | concept: easy, straightforward idea | structure: “-able” ending makes it more multi-syllable | nuance: used in a straightforward way",11PlusSuccess2019-2020|ExamNinja,2.0
Amicable,level3,"frequency: relatively uncommon outside reading and lessons | concept: precise meaning used in careful writing | structure: has the suffix “-able”, which often appears in formal vocabulary | nuance: used for precise shade",TrickyList2024,3.0
Amorphous,level3,"frequency: relatively uncommon outside reading and lessons; concept: abstract or specialised idea; structure: ends with “-ous”, a common but longer word ending; nuance: used for precise shades of meaning",ExamNinja,3.0
Amphibian,level2,"frequency: common, but not constant in daily talk; concept: understandable but can vary by context; structure: longer spelling and likely more syllables; nuance: can be used figuratively as well as literally",11PlusSuccess2019-2020|ExamNinja,2.75
Amply,level1,frequency: very common in everyday speech; concept: simple meaning tied to everyday situations; structure: few syllables and easy to decode; nuance: usually literal and unambiguous,11PlusSuccess2019-2020|ExamNinja,2.0
Amusing,level2,"frequency: common, but not constant in daily talk | concept: moderately abstract compared with basic words | structure: longer spelling and likely more syllables | nuance: can be used figuratively as well as literally",ExamNinja,2.25
Anagram,level2,"frequency: fairly common in books and schoolwork | concept: mostly clear, with a slightly broader meaning | structure: not difficult to spell, but longer than everyday words | nuance: meaning shifts slightly across conte",ExamNinja,2.25
Analogy,level3,frequency: relatively uncommon outside reading and lessons | concept: precise meaning used in careful writing | structure: longer spelling and likely more syllables | nuance: can be confused with near‑synonyms if used lo,ExamNinja,3.25
Anarchist,level2,"frequency: common, but not constant in daily talk — concept: understandable but can vary by context — structure: “-ist” ending makes it more multi-syllable — nuance: sometimes overlaps with similar words",ExamNinja,2.75
Androgynous,level4,"frequency: low‑frequency, high‑level vocabulary — concept: subtle meaning that depends strongly on context — structure: ends with “-ous”, a common but longer word ending — nuance: strong connotation and precise usage exp",ExamNinja,3.5
Anecdote,level2,"frequency: seen regularly, though slightly less everyday — concept: moderately abstract compared with basic words — structure: longer spelling and likely more syllables — nuance: sometimes overlaps with similar words",TrickyList2024|ExamNinja,2.75
Anguish,level1,frequency: high‑use everyday word — concept: simple meaning tied to everyday situations — structure: longer spelling and likely more syllables — nuance: meaning is rarely confused,TrickyList2024|11PlusSuccess2019-2020|ExamNinja,2.0
Animosity,level4,"frequency: rare; mainly found in advanced or academic texts; concept: subtle meaning that depends strongly on context; structure: ends with “-ity”, a common but longer word ending; nuance: strong connotation and precise",ExamNinja,3.5
Annihilated,level3,frequency: relatively uncommon outside reading and lessons | concept: more nuanced than a simple everyday term | structure: long and multi-syllable | nuance: can be confused with near‑synonyms if used loosely,11PlusSuccess2019-2020|ExamNinja,3.25
Anomaly,level2,"frequency: common, but not constant in daily talk | concept: mostly clear, with a slightly broader meaning | structure: not difficult to spell, but longer than everyday words | nuance: can be used figuratively as well as",TrickyList2024,2.5
Antagonistic,level4,frequency: uncommon and quite formal | concept: subtle meaning that depends strongly on context | structure: “-ic” ending makes it more multi-syllable | nuance: meaning can be delicate and context‑dependent,ExamNinja,3.5
Antagonize,level3,frequency: less common; often appears in formal writing — concept: precise meaning used in careful writing — structure: “-ize” ending makes it more multi-syllable — nuance: can be confused with near‑synonyms if used loos,TrickyList2024,3.25
Antidote,level2,"frequency: fairly common in books and schoolwork — concept: understandable but can vary by context — structure: includes the prefix “anti-”, changing the base meaning — nuance: meaning shifts slightly across contexts",ExamNinja,2.75
Antipathy,level3,"frequency: more bookish and not used daily; concept: abstract or specialised idea; structure: uses “anti-” at the start, so pupils must unpack the prefix; nuance: can be confused with near‑synonyms if used loosely",ExamNinja,3.0
Antiquated,level3,"frequency: more bookish and not used daily; concept: more nuanced than a simple everyday term; structure: includes the prefix “anti-”, changing the base meaning; nuance: can be confused with near‑synonyms if used loosely",ExamNinja,3.25
Antiquity,level4,"frequency: low‑frequency, high‑level vocabulary; concept: subtle meaning that depends strongly on context; structure: built with “anti-” and “-ity”, so it is longer and more complex; nuance: strong connotation and precis",11PlusGuideY5-6|11PlusSuccess2019-2020|ExamNinja,3.5
Antithesis,level3,"frequency: less common; often appears in formal writing | concept: precise meaning used in careful writing | structure: includes the prefix “anti-”, changing the base meaning | nuance: used for precise shades of meaning",ExamNinja,3.25
Antonym,level2,"frequency: fairly common in books and schoolwork — concept: mostly clear, with a slightly broader meaning — structure: not difficult to spell, but longer than everyday words — nuance: can be used figuratively as well as",ExamNinja,2.25
Anxious,level1,"frequency: high‑use everyday word | concept: simple meaning tied to everyday situations | structure: has the suffix “-ous”, which often appears in formal vocabulary | nuance: meaning is rarely confused",11PlusGuideY5-6|ExamNinja,2.0
Apathetic,level3,"frequency: less common; often appears in formal writing | concept: abstract or specialised idea | structure: ends with “-ic”, a common but longer word ending | nuance: can be confused with near‑synonyms if used loosely",11PlusSuccess2019-2020|ExamNinja,3.25
Apathy,level2,"frequency: seen regularly, though slightly less everyday — concept: moderately abstract compared with basic words — structure: not difficult to spell, but longer than everyday words — nuance: meaning shifts slightly acro",ExamNinja,2.25
Aped,level1,frequency: often heard and read by children; concept: simple meaning tied to everyday situations; structure: compact spelling with no tricky affixes; nuance: used in a straightforward way,11PlusSuccess2019-2020,1.75
Apex,level1,frequency: often heard and read by children; concept: simple meaning tied to everyday situations; structure: few syllables and easy to decode; nuance: meaning is rarely confused,TrickyList2024,1.75
Aphorism,level3,frequency: more bookish and not used daily; concept: precise meaning used in careful writing; structure: “-ism” ending makes it more multi-syllable; nuance: used for precise shades of meaning,ExamNinja,3.0
Apoplectic,level4,"frequency: uncommon and quite formal — concept: sophisticated idea that needs careful interpretation — structure: ends with “-ic”, a common but longer word ending — nuance: subtle register and connotations; easy to misus",ExamNinja,3.5
Apparition,level4,frequency: uncommon and quite formal; concept: sophisticated idea that needs careful interpretation; structure: “-tion” ending makes it more multi-syllable; nuance: strong connotation and precise usage expected,TrickyList2024,4.0
Appeal,level1,"frequency: very common in everyday speech — concept: easy, straightforward idea — structure: “-al” ending makes it more multi-syllable — nuance: meaning is rarely confused",11PlusGuideY5-6|ExamNinja,2.0
Appearance,level4,"frequency: rare; mainly found in advanced or academic texts | concept: highly nuanced or abstract | structure: has the suffix “-ance”, which often appears in formal vocabulary | nuance: subtle register and connotations;",11PlusGuideY5-6|ExamNinja,4.0
Appease,level1,"frequency: often heard and read by children | concept: easy, straightforward idea | structure: not difficult to spell, but longer than everyday words | nuance: used in a straightforward way",ExamNinja,2.0
Apprehension,level4,"frequency: low‑frequency, high‑level vocabulary | concept: highly nuanced or abstract | structure: ends with “-sion”, a common but longer word ending | nuance: meaning can be delicate and context‑dependent",ExamNinja,4.0
Apprehensive,level4,"frequency: low‑frequency, high‑level vocabulary; concept: highly nuanced or abstract; structure: “-ive” ending makes it more multi-syllable; nuance: subtle register and connotations; easy to misuse","11PlusGuideY5-6,TrickyList2024|11PlusSuccess2019-2020|ExamNinja",3.5
Apprise,level1,"frequency: often heard and read by children — concept: easy, straightforward idea — structure: ends with “-ise”, a common but longer word ending — nuance: meaning is rarely confused",11PlusSuccess2019-2020|ExamNinja,2.0
Approve,level1,"frequency: often heard and read by children — concept: simple meaning tied to everyday situations — structure: not difficult to spell, but longer than everyday words — nuance: meaning is rarely confused",11PlusGuideY5-6|ExamNinja,2.0
Arbitrary,level3,"frequency: less common; often appears in formal writing — concept: abstract or specialised idea — structure: ends with “-ary”, a common but longer word ending — nuance: can be confused with near‑synonyms if used loosely",ExamNinja,3.25
Archaic,level1,"frequency: high‑use everyday word; concept: simple meaning tied to everyday situations; structure: has the suffix “-ic”, which often appears in formal vocabulary; nuance: usually literal and unambiguous",TrickyList2024|ExamNinja,2.0
Ardour,level1,frequency: high‑use everyday word — concept: clear and concrete — structure: short and simple in form — nuance: used in a straightforward way,ExamNinja,2.0
Arduous,level1,"frequency: high‑use everyday word; concept: easy, straightforward idea; structure: ends with “-ous”, a common but longer word ending; nuance: usually literal and unambiguous","11PlusGuideY5-6,TrickyList2024|11PlusSuccess2019-2020|ExamNinja",2.0
Argument,level3,frequency: less common; often appears in formal writing; concept: more nuanced than a simple everyday term; structure: “-ment” ending makes it more multi-syllable; nuance: often used in a particular register (formal/prec,11PlusGuideY5-6|ExamNinja,3.25
Arid,level1,frequency: high‑use everyday word | concept: simple meaning tied to everyday situations | structure: few syllables and easy to decode | nuance: used in a straightforward way,ExamNinja,1.75
Aroma,level1,"frequency: often heard and read by children | concept: easy, straightforward idea | structure: medium length with more to sound out | nuance: used in a straightforward way",TrickyList2024,2.0
Arouse,level1,"frequency: high‑use everyday word; concept: simple meaning tied to everyday situations; structure: not difficult to spell, but longer than everyday words; nuance: used in a straightforward way",11PlusGuideY5-6|ExamNinja,2.0
Array,level1,frequency: very common in everyday speech | concept: clear and concrete | structure: few syllables and easy to decode | nuance: used in a straightforward way,TrickyList2024,1.75
Arrogance,level3,frequency: less common; often appears in formal writing; concept: precise meaning used in careful writing; structure: “-ance” ending makes it more multi-syllable; nuance: used for precise shades of meaning,ExamNinja,3.0
Artful,level1,"frequency: very common in everyday speech; concept: easy, straightforward idea; structure: has the suffix “-ful”, which often appears in formal vocabulary; nuance: usually literal and unambiguous",11PlusGuideY5-6|ExamNinja,2.0
Article,level1,frequency: very common in everyday speech — concept: simple meaning tied to everyday situations — structure: medium length with more to sound out — nuance: usually literal and unambiguous,11PlusGuideY5-6|ExamNinja,2.0
Articulate,level3,frequency: more bookish and not used daily | concept: more nuanced than a simple everyday term | structure: multi-syllable form that needs careful pronunciation | nuance: used for precise shades of meaning,ExamNinja,3.25
Artisan,level2,"frequency: seen regularly, though slightly less everyday | concept: moderately abstract compared with basic words | structure: not difficult to spell, but longer than everyday words | nuance: sometimes overlaps with simi",ExamNinja,2.25
Ascendancy,level3,"frequency: relatively uncommon outside reading and lessons; concept: precise meaning used in careful writing; structure: extended spelling, which can slow reading; nuance: often used in a particular register (formal/prec",ExamNinja,3.25
Ascent,level1,frequency: very common in everyday speech — concept: simple meaning tied to everyday situations — structure: compact spelling with no tricky affixes — nuance: meaning is rarely confused,11PlusSuccess2019-2020|ExamNinja,2.0
Ascetic,level2,frequency: fairly common in books and schoolwork — concept: understandable but can vary by context — structure: “-ic” ending makes it more multi-syllable — nuance: meaning shifts slightly across contexts,ExamNinja,2.25
Askance,level2,"frequency: fairly common in books and schoolwork; concept: mostly clear, with a slightly broader meaning; structure: ends with “-ance”, a common but longer word ending; nuance: meaning shifts slightly across contexts",11PlusSuccess2019-2020|ExamNinja,2.5
Aspiration,level4,"frequency: uncommon and quite formal | concept: highly nuanced or abstract | structure: has the suffix “-tion”, which often appears in formal vocabulary | nuance: subtle register and connotations; easy to misuse",ExamNinja,4.0
Aspire,level1,"frequency: often heard and read by children — concept: clear and concrete — structure: not difficult to spell, but longer than everyday words — nuance: used in a straightforward way",ExamNinja,2.0
Assemble,level2,"frequency: fairly common in books and schoolwork | concept: moderately abstract compared with basic words | structure: not difficult to spell, but longer than everyday words | nuance: meaning shifts slightly across conte",11PlusGuideY5-6|ExamNinja,2.75
Assented,level2,frequency: fairly common in books and schoolwork; concept: moderately abstract compared with basic words; structure: medium length with more to sound out; nuance: can be used figuratively as well as literally,11PlusSuccess2019-2020|ExamNinja,2.75
Assiduous,level3,"frequency: less common; often appears in formal writing; concept: precise meaning used in careful writing; structure: ends with “-ous”, a common but longer word ending; nuance: can be confused with near‑synonyms if used",11PlusGuideY5-6|ExamNinja,3.0
Assistance,level4,"frequency: uncommon and quite formal; concept: highly nuanced or abstract; structure: has the suffix “-ance”, which often appears in formal vocabulary; nuance: meaning can be delicate and context‑dependent",11PlusGuideY5-6|ExamNinja,4.0
