word,meaning,synonyms,antonyms,example_sentences
abundant,"existing in large quantities","[""ample"", ""copious"", ""lots"", ""plentiful"", ""plenty""]","[""few"", ""limited"", ""rare"", ""scarce"", ""sparse""]","[""The forest was abundant with wildlife."", ""The garden was abundant with colourful flowers."", ""The harvest this year was abundant."", ""Wildlife is abundant in the rainforest."", ""The lake has an abundant supply of fish.""]"
accede,"to agree to a demand or request","[""agree"", ""consent"", ""yield""]","[""deny"", ""refuse"", ""reject""]","[""The government will accede to their demands.""]"
accelerate,"to go faster or make something faster","[""speed up"", ""quicken"", ""hasten""]","[""slow down"", ""decelerate"", ""brake""]","[""The car began to accelerate on the motorway.""]"
accentuate,"to make more noticeable or prominent","[""emphasise"", ""highlight"", ""stress""]","[""minimise"", ""downplay"", ""obscure""]","[""The lighting accentuates the painting's colours.""]"
accept,"to agree to take something offered","[""receive"", ""agree"", ""take""]","[""refuse"", ""reject"", ""decline""]","[""I was happy to accept the invitation to the party.""]"
accessible,"easy to reach or understand","[""approachable"", ""available"", ""reachable""]","[""exclusive"", ""inaccessible"", ""restricted"", ""unreachable""]","[""The building is accessible for wheelchair users."", ""The museum is accessible by public transport.""]"
accolade,"an award or expression of praise","[""award"", ""honour"", ""praise""]","[""censure"", ""condemnation"", ""criticism""]","[""She received the highest accolade for her work.""]"
accommodate,"to provide space or adapt to needs","[""adapt"", ""adjust"", ""fit"", ""house""]","[""exclude"", ""refuse"", ""reject""]","[""The hall can accommodate three hundred people."", ""The hotel can accommodate 200 guests.""]"
accompany,"to go somewhere with someone","[""join"", ""escort"", ""follow""]","[""leave"", ""abandon"", ""desert""]","[""My mum will accompany me to the dentist.""]"
accomplice,"a person who helps commit a crime","[""partner"", ""associate"", ""collaborator""]","[""opponent"", ""adversary"", ""rival""]","[""The thief had an accomplice waiting outside.""]"
accomplish,"to succeed in doing something difficult","[""achieve"", ""complete"", ""fulfil""]","[""fail"", ""abandon"", ""quit""]","[""She managed to accomplish her goal of reading 50 books.""]"
accumulate,"to gather or collect over time","[""collect"", ""gather"", ""amass""]","[""scatter"", ""disperse"", ""lose""]","[""Dust will accumulate if you don't clean regularly.""]"
accumulation,"a gradual gathering of something","[""collection"", ""build-up"", ""stockpile""]","[""dispersal"", ""distribution"", ""reduction""]","[""The accumulation of evidence proved his guilt.""]"
accurate,"correct and without mistakes","[""correct"", ""exact"", ""precise""]","[""inaccurate"", ""wrong"", ""incorrect""]","[""Make sure your spelling is accurate.""]"
accusation,"a claim that someone has done wrong","[""charge"", ""allegation"", ""claim""]","[""defence"", ""denial"", ""exoneration""]","[""The accusation of cheating was unfounded.""]"
achieve,"to succeed in doing something","[""accomplish"", ""succeed"", ""complete""]","[""fail"", ""lose"", ""miss""]","[""She worked hard to achieve her goals.""]"
acknowledge,"to accept or admit the truth of something","[""accept"", ""admit"", ""recognise""]","[""deny"", ""ignore"", ""reject""]","[""I acknowledge that I made a mistake."", ""We must acknowledge the contributions of others.""]"
acquiesce,"to accept something reluctantly without protest","[""agree"", ""consent"", ""comply""]","[""resist"", ""protest"", ""object""]","[""She decided to acquiesce to their demands.""]"
acquire,"to get or obtain something","[""gain"", ""get"", ""obtain""]","[""give away"", ""lose"", ""surrender""]","[""She hopes to acquire new skills at camp."", ""The museum hopes to acquire the painting.""]"
acquisition,"the act of obtaining something","[""purchase"", ""attainment"", ""procurement""]","[""loss"", ""disposal"", ""sale""]","[""The acquisition of new skills takes time.""]"
acquit,"to declare someone not guilty","[""clear"", ""exonerate"", ""vindicate""]","[""blame"", ""condemn"", ""convict""]","[""The jury voted to acquit the defendant.""]"
acrimonious,"angry and bitter in tone","[""bitter"", ""hostile"", ""resentful""]","[""amicable"", ""cordial"", ""friendly""]","[""The divorce was long and acrimonious.""]"
acrimony,"bitterness or ill feeling","[""hostility"", ""bitterness"", ""resentment""]","[""friendliness"", ""goodwill"", ""harmony""]","[""The debate ended with much acrimony.""]"
active,"moving around a lot and doing things","[""busy"", ""energetic"", ""lively""]","[""inactive"", ""lazy"", ""idle""]","[""The active puppy ran around the garden all day.""]"
adamant,"refusing to change one's mind","[""unyielding"", ""resolute"", ""determined""]","[""flexible"", ""yielding"", ""indecisive""]","[""She was adamant that she was correct.""]"
adapt,"to change to fit a new situation","[""adjust"", ""modify"", ""change""]","[""stay the same"", ""resist"", ""refuse""]","[""Animals adapt to survive in different habitats.""]"
additional,"extra or more than usual","[""extra"", ""more"", ""added""]","[""less"", ""fewer"", ""reduced""]","[""We need additional chairs for the party.""]"
adept,"very skilled or proficient at something","[""skilled"", ""expert"", ""proficient""]","[""inept"", ""unskilled"", ""incompetent""]","[""He is adept at solving puzzles.""]"
adequate,"enough or sufficient for a purpose","[""sufficient"", ""enough"", ""satisfactory""]","[""inadequate"", ""insufficient"", ""lacking""]","[""We have adequate supplies for the journey.""]"
adhere,"to stick to or follow rules","[""comply"", ""follow"", ""stick""]","[""disobey"", ""ignore"", ""separate""]","[""We must adhere to the school rules.""]"
adjacent,"next to or adjoining something else","[""adjoining"", ""beside"", ""bordering"", ""neighbouring"", ""next to""]","[""distant"", ""far"", ""remote"", ""separate""]","[""The park is adjacent to the school."", ""The two buildings are adjacent to each other.""]"
administer,"to manage or give out something","[""manage"", ""organise"", ""distribute""]","[""receive"", ""take"", ""neglect""]","[""The nurse will administer the medicine.""]"
admire,"to look at with pleasure or respect","[""respect"", ""appreciate"", ""like""]","[""dislike"", ""criticise"", ""despise""]","[""I admire my teacher for being so patient.""]"
admonish,"to warn or reprimand firmly","[""warn"", ""caution"", ""rebuke""]","[""praise"", ""commend"", ""approve""]","[""The teacher had to admonish the noisy students.""]"
adolescent,"a young person between childhood and adulthood","[""teenager"", ""youth"", ""juvenile""]","[""adult"", ""child"", ""infant""]","[""The adolescent was excited about starting secondary school.""]"
adorn,"to make more beautiful or attractive","[""beautify"", ""decorate"", ""embellish""]","[""bare"", ""spoil"", ""strip""]","[""Flowers adorn the entrance to the building.""]"
adulation,"excessive admiration or praise","[""flattery"", ""praise"", ""worship""]","[""censure"", ""condemnation"", ""criticism""]","[""The singer received adulation from fans.""]"
advance,"to move forward or make progress","[""progress"", ""proceed"", ""improve""]","[""retreat"", ""reverse"", ""decline""]","[""The army began to advance towards the castle.""]"
advantageous,"helpful and giving benefits","[""beneficial"", ""helpful"", ""useful""]","[""disadvantageous"", ""harmful"", ""unhelpful""]","[""Learning a language is advantageous for travel.""]"
adventure,"an exciting experience or journey","[""journey"", ""quest"", ""expedition""]","[""routine"", ""boredom"", ""safety""]","[""Reading the book was a great adventure.""]"
adversary,"an opponent or enemy","[""enemy"", ""opponent"", ""rival""]","[""ally"", ""friend"", ""supporter""]","[""In chess your adversary sits across from you.""]"
adverse,"unfavourable or harmful","[""harmful"", ""negative"", ""unfavourable""]","[""beneficial"", ""favourable"", ""positive""]","[""Adverse weather conditions delayed the flight."", ""Adverse weather delayed our journey.""]"
adversity,"difficulties or misfortune","[""hardship"", ""difficulty"", ""misfortune""]","[""prosperity"", ""success"", ""fortune""]","[""She showed courage in the face of adversity.""]"
advice,"helpful suggestions about what to do","[""guidance"", ""tips"", ""suggestions""]","[""silence"", ""criticism"", ""misleading""]","[""My dad gave me good advice about making friends.""]"
advocate,"a person who publicly supports something","[""champion"", ""promote"", ""proponent"", ""recommend"", ""support"", ""supporter""]","[""adversary"", ""critic"", ""criticise"", ""discourage"", ""opponent"", ""oppose""]","[""She advocates for animal rights."", ""She is an advocate for children's rights.""]"
aesthetic,"concerned with beauty and taste","[""artistic"", ""beautiful"", ""elegant"", ""tasteful"", ""visual""]","[""plain"", ""tasteless"", ""ugly"", ""unattractive""]","[""The building has great aesthetic appeal."", ""The room has great aesthetic appeal.""]"
affable,"friendly and easy to talk to","[""amiable"", ""approachable"", ""friendly"", ""genial""]","[""aloof"", ""hostile"", ""unfriendly""]","[""The affable host welcomed all guests warmly."", ""The affable shopkeeper greeted every customer.""]"
affectation,"behaviour that is artificial and designed to impress","[""posturing"", ""pretence"", ""show""]","[""genuineness"", ""naturalness"", ""sincerity""]","[""Her accent was an obvious affectation.""]"
affectionate,"showing love and care","[""loving"", ""caring"", ""tender""]","[""cold"", ""distant"", ""unloving""]","[""The affectionate dog wagged its tail happily.""]"
affinity,"a natural liking or connection","[""attraction"", ""fondness"", ""kinship""]","[""aversion"", ""dislike"", ""hostility""]","[""She felt an affinity for the countryside.""]"
affluence,"the state of having great wealth","[""wealth"", ""prosperity"", ""riches""]","[""poverty"", ""destitution"", ""hardship""]","[""The area is known for its affluence.""]"
affluent,"having a great deal of money; wealthy","[""prosperous"", ""rich"", ""wealthy""]","[""destitute"", ""impoverished"", ""needy"", ""poor""]","[""They live in an affluent neighbourhood."", ""They live in an affluent part of town.""]"
afraid,"feeling fear or being scared","[""scared"", ""frightened"", ""terrified""]","[""brave"", ""confident"", ""fearless""]","[""The little girl was afraid of the dark.""]"
aggrandise,"to increase power or status","[""elevate"", ""enhance"", ""exalt""]","[""belittle"", ""diminish"", ""humble""]","[""He sought to aggrandise his own reputation.""]"
aggravate,"to make a problem worse","[""annoy"", ""exacerbate"", ""intensify"", ""irritate"", ""worsen""]","[""alleviate"", ""calm"", ""improve"", ""soothe""]","[""Scratching will aggravate the rash."", ""Scratching will only aggravate the rash.""]"
aggregate,"formed by combining several elements","[""collective"", ""combined"", ""total""]","[""individual"", ""partial"", ""separate""]","[""The aggregate score determines the winner.""]"
agile,"able to move quickly and easily","[""nimble"", ""quick"", ""flexible""]","[""clumsy"", ""slow"", ""stiff""]","[""The agile monkey swung through the trees.""]"
agitate,"to make someone troubled or upset","[""disturb"", ""unsettle"", ""provoke""]","[""calm"", ""soothe"", ""pacify""]","[""The bad news began to agitate the crowd.""]"
agonise,"to worry greatly about something","[""worry"", ""fret"", ""stress""]","[""relax"", ""calm"", ""ignore""]","[""Don't agonise over small decisions.""]"
agree,"to have the same opinion as someone","[""accept"", ""consent"", ""approve""]","[""disagree"", ""argue"", ""oppose""]","[""We all agree that pizza is delicious.""]"
alacrity,"brisk and cheerful readiness","[""eagerness"", ""enthusiasm"", ""willingness""]","[""hesitation"", ""reluctance"", ""unwillingness""]","[""She accepted the challenge with alacrity."", ""She accepted the offer with alacrity.""]"
albeit,"although; even though","[""although"", ""even though"", ""though""]","[""because"", ""since"", ""therefore""]","[""The task was difficult albeit rewarding.""]"
alert,"quick to notice things; watchful","[""watchful"", ""attentive"", ""aware""]","[""unaware"", ""sleepy"", ""careless""]","[""Stay alert when crossing the road.""]"
allege,"to claim something without proof","[""assert"", ""claim"", ""contend""]","[""deny"", ""disprove"", ""prove""]","[""The report alleged misconduct by officials.""]"
allegiance,"loyalty and support to someone or something","[""loyalty"", ""devotion"", ""faithfulness""]","[""disloyalty"", ""betrayal"", ""treachery""]","[""The knight pledged allegiance to the king.""]"
allegory,"a story with hidden meaning","[""parable"", ""fable"", ""metaphor""]","[""literal account"", ""reality""]","[""The novel is an allegory about political corruption.""]"
alleviate,"to make suffering less severe","[""ease"", ""reduce"", ""relieve""]","[""aggravate"", ""intensify"", ""worsen""]","[""Medicine can alleviate the pain."", ""Medicine can alleviate the symptoms."", ""Medicine will alleviate the pain.""]"
allocate,"to distribute resources for a purpose","[""allot"", ""assign"", ""distribute""]","[""keep"", ""retain"", ""withhold""]","[""The government will allocate funds for education."", ""The teacher will allocate tasks to each group.""]"
allude,"to refer to indirectly","[""hint"", ""refer"", ""suggest""]","[""declare"", ""specify"", ""state directly""]","[""She alluded to problems at home.""]"
allure,"the quality of being attractive or tempting","[""attraction"", ""appeal"", ""charm""]","[""repulsion"", ""ugliness"", ""unattractiveness""]","[""The allure of the chocolate was hard to resist.""]"
allusion,"an indirect reference to something","[""reference"", ""hint"", ""suggestion""]","[""direct statement"", ""explanation""]","[""The poem contains an allusion to Greek mythology.""]"
alter,"to change something slightly","[""change"", ""modify"", ""adjust""]","[""keep"", ""maintain"", ""preserve""]","[""We had to alter our plans because of the rain.""]"
altercation,"a noisy argument or disagreement","[""argument"", ""dispute"", ""quarrel""]","[""agreement"", ""harmony"", ""peace""]","[""There was an altercation in the playground.""]"
alternative,"one of two or more possibilities","[""option"", ""choice"", ""substitute""]","[""same"", ""original"", ""only""]","[""We need to find an alternative solution.""]"
altruistic,"showing unselfish concern for others","[""selfless"", ""generous"", ""charitable""]","[""selfish"", ""self-centred"", ""egotistical""]","[""Her altruistic nature led her to volunteer.""]"
amaze,"to surprise someone greatly","[""astonish"", ""astound"", ""stun""]","[""bore"", ""disappoint"", ""expect""]","[""The magic trick will amaze the children.""]"
ambiguity,"the quality of being unclear or confusing","[""uncertainty"", ""vagueness"", ""obscurity""]","[""clarity"", ""certainty"", ""precision""]","[""There was ambiguity in his statement.""]"
ambiguous,"having more than one meaning; unclear","[""unclear"", ""vague"", ""confusing""]","[""clear"", ""obvious"", ""definite""]","[""The instructions were ambiguous and hard to follow.""]"
ambitious,"having a strong desire to succeed","[""driven"", ""determined"", ""aspiring""]","[""lazy"", ""unmotivated"", ""content""]","[""The ambitious student aimed for top marks.""]"
ambivalent,"having mixed feelings about something","[""conflicted"", ""uncertain"", ""undecided""]","[""certain"", ""decisive"", ""resolved""]","[""She felt ambivalent about moving abroad."", ""I feel ambivalent about the decision.""]"
ameliorate,"to make something bad better","[""enhance"", ""improve"", ""remedy""]","[""aggravate"", ""deteriorate"", ""worsen""]","[""New laws aim to ameliorate working conditions."", ""The medicine will ameliorate your symptoms.""]"
amenable,"willing to accept suggestions","[""agreeable"", ""cooperative"", ""receptive""]","[""uncooperative"", ""resistant"", ""inflexible""]","[""She was amenable to the new proposal.""]"
amend,"to make changes to improve something","[""correct"", ""modify"", ""revise""]","[""damage"", ""keep"", ""maintain"", ""preserve""]","[""Parliament voted to amend the law."", ""We need to amend the document before printing.""]"
amicable,"characterised by friendliness","[""friendly"", ""cordial"", ""harmonious""]","[""hostile"", ""unfriendly"", ""antagonistic""]","[""They reached an amicable agreement.""]"
ample,"more than enough; plentiful","[""abundant"", ""plentiful"", ""plenty"", ""sufficient""]","[""inadequate"", ""insufficient"", ""limited"", ""scarce""]","[""There is ample time to finish your work."", ""There was ample food for everyone.""]"
amplify,"to make something louder or stronger","[""increase"", ""boost"", ""enhance""]","[""reduce"", ""decrease"", ""weaken""]","[""The microphone will amplify your voice.""]"
anachronism,"something out of its time period","[""incongruity"", ""relic"", ""throwback""]","[""contemporary"", ""current"", ""modern""]","[""A knight at a football match would be an anachronism.""]"
analogous,"comparable in certain respects","[""similar"", ""comparable"", ""equivalent""]","[""different"", ""unlike"", ""dissimilar""]","[""The situation is analogous to last year's crisis.""]"
analogy,"a comparison between two similar things","[""comparison"", ""parallel"", ""similarity""]","[""contrast"", ""difference"", ""opposition""]","[""The teacher used an analogy to explain gravity.""]"
analyse,"to examine something carefully in detail","[""examine"", ""study"", ""investigate""]","[""ignore"", ""overlook"", ""neglect""]","[""Scientists analyse data to find patterns.""]"
anarchy,"a state of disorder without authority","[""chaos"", ""lawlessness"", ""disorder""]","[""order"", ""government"", ""control""]","[""The country descended into anarchy.""]"
anathema,"something or someone strongly disliked","[""abomination"", ""bane"", ""curse""]","[""blessing"", ""delight"", ""favourite""]","[""Cheating is anathema to our class rules.""]"
ancient,"belonging to the very distant past","[""aged"", ""antique"", ""historic"", ""old""]","[""modern"", ""new"", ""recent""]","[""The ancient ruins were thousands of years old."", ""We visited an ancient castle on our school trip.""]"
anecdote,"a short amusing or interesting story","[""story"", ""tale"", ""narrative""]","[""factual account"", ""documentation"", ""record""]","[""He told an amusing anecdote about his childhood.""]"
animosity,"strong hostility or hatred","[""hostility"", ""hatred"", ""enmity""]","[""friendship"", ""goodwill"", ""affection""]","[""There was animosity between the two teams.""]"
annihilate,"to destroy completely","[""destroy"", ""eliminate"", ""obliterate""]","[""build"", ""create"", ""preserve""]","[""The asteroid could annihilate all life on Earth.""]"
announce,"to tell people about something publicly","[""declare"", ""proclaim"", ""report""]","[""conceal"", ""hide"", ""withhold""]","[""The head teacher will announce the winner tomorrow.""]"
annoy,"to make someone slightly angry","[""irritate"", ""bother"", ""pester""]","[""please"", ""delight"", ""calm""]","[""Loud noises annoy me when I am reading.""]"
annual,"happening once every year","[""yearly"", ""each year"", ""per year""]","[""daily"", ""weekly"", ""monthly""]","[""The school holds an annual sports day.""]"
anodyne,"not likely to offend; bland","[""bland"", ""harmless"", ""inoffensive""]","[""controversial"", ""offensive"", ""provocative""]","[""The speech was anodyne and forgettable.""]"
anomalous,"deviating from what is normal","[""abnormal"", ""irregular"", ""unusual""]","[""normal"", ""typical"", ""regular""]","[""The result was anomalous and unexpected.""]"
anomaly,"something different from what is expected","[""irregularity"", ""exception"", ""oddity""]","[""norm"", ""regularity"", ""standard""]","[""The temperature spike was an anomaly.""]"
anonymous,"made by an unknown person","[""unnamed"", ""unknown"", ""unidentified""]","[""named"", ""identified"", ""known""]","[""The donation was made by an anonymous donor.""]"
antagonise,"to cause someone to become hostile","[""provoke"", ""irritate"", ""annoy""]","[""pacify"", ""please"", ""appease""]","[""Try not to antagonise your classmates.""]"
antagonist,"a person who opposes another","[""adversary"", ""enemy"", ""opponent""]","[""ally"", ""friend"", ""supporter""]","[""The antagonist in the story was the wicked queen.""]"
antagonistic,"showing active opposition or hostility","[""hostile"", ""opposing"", ""confrontational""]","[""friendly"", ""cooperative"", ""supportive""]","[""The politician was antagonistic towards reporters.""]"
antediluvian,"ridiculously old-fashioned","[""ancient"", ""antiquated"", ""archaic""]","[""contemporary"", ""current"", ""modern""]","[""His views on women were antediluvian.""]"
anticipate,"to expect something to happen","[""expect"", ""predict"", ""foresee""]","[""doubt"", ""ignore"", ""disregard""]","[""We anticipate a busy day at the zoo.""]"
anticipation,"the action of expecting something","[""expectation"", ""hope"", ""excitement""]","[""surprise"", ""shock"", ""disappointment""]","[""The anticipation before the concert was intense.""]"
antiquated,"old-fashioned or outdated","[""outdated"", ""obsolete"", ""archaic""]","[""modern"", ""current"", ""contemporary""]","[""The factory uses antiquated machinery.""]"
antithesis,"the direct opposite of something","[""opposite"", ""contrary"", ""reverse""]","[""same"", ""identical"", ""equivalent""]","[""His behaviour is the antithesis of kindness.""]"
anxious,"feeling worried or nervous about something","[""nervous"", ""uneasy"", ""worried""]","[""calm"", ""confident"", ""relaxed""]","[""She felt anxious before her first day at school."", ""She felt anxious before the big test.""]"
apathetic,"showing no interest or enthusiasm","[""indifferent"", ""unconcerned"", ""uninterested""]","[""enthusiastic"", ""interested"", ""passionate""]","[""The students were apathetic about the new rules.""]"
apathy,"lack of interest or concern","[""indifference"", ""unconcern"", ""disinterest""]","[""enthusiasm"", ""interest"", ""passion""]","[""Voter apathy was blamed for the low turnout.""]"
apocryphal,"of doubtful authenticity","[""fabricated"", ""fictitious"", ""spurious""]","[""authentic"", ""genuine"", ""verified""]","[""The story about the ghost is probably apocryphal.""]"
apologise,"to say sorry for something you did","[""say sorry"", ""regret"", ""make amends""]","[""blame"", ""accuse"", ""offend""]","[""I apologise for being late to class.""]"
apotheosis,"the highest point of development","[""climax"", ""peak"", ""pinnacle""]","[""beginning"", ""low point"", ""nadir""]","[""The final match was the apotheosis of his career.""]"
appalling,"causing shock or dismay","[""shocking"", ""dreadful"", ""horrifying""]","[""wonderful"", ""pleasing"", ""delightful""]","[""The conditions in the prison were appalling.""]"
apparatus,"equipment for a particular purpose","[""equipment"", ""device"", ""machinery""]","[""absence"", ""lack"", ""nothing""]","[""The scientific apparatus was expensive.""]"
apparent,"clearly visible or obvious","[""clear"", ""evident"", ""obvious""]","[""concealed"", ""hidden"", ""obscure"", ""unclear""]","[""It was apparent that she was tired.""]"
appear,"to come into sight or become visible","[""show"", ""emerge"", ""arrive""]","[""disappear"", ""vanish"", ""hide""]","[""The sun will appear from behind the clouds.""]"
appease,"to make calm by giving what is demanded","[""pacify"", ""placate"", ""satisfy""]","[""aggravate"", ""anger"", ""provoke""]","[""She gave him sweets to appease his temper."", ""They tried to appease the angry crowd.""]"
appendix,"additional material at the end of a book","[""supplement"", ""addition"", ""attachment""]","[""main text"", ""body"", ""core content""]","[""The appendix contains useful information.""]"
appraisal,"an assessment of value or quality","[""evaluation"", ""assessment"", ""review""]","[""neglect"", ""disregard"", ""ignorance""]","[""The house needs an appraisal before sale.""]"
appreciate,"to be grateful for something","[""value"", ""treasure"", ""be thankful""]","[""ignore"", ""disregard"", ""criticise""]","[""I appreciate your help with my project.""]"
apprehend,"to arrest someone or understand something","[""arrest"", ""capture"", ""grasp""]","[""free"", ""misunderstand"", ""release""]","[""Police managed to apprehend the suspect.""]"
apprehensive,"worried about something that might happen","[""anxious"", ""nervous"", ""worried""]","[""calm"", ""confident"", ""relaxed""]","[""He felt apprehensive about the exam.""]"
approach,"to move closer to something","[""near"", ""advance"", ""come close""]","[""retreat"", ""leave"", ""withdraw""]","[""The cat began to approach the bird slowly.""]"
approbation,"approval or praise","[""approval"", ""endorsement"", ""praise""]","[""condemnation"", ""criticism"", ""disapproval""]","[""The plan received universal approbation.""]"
appropriate,"suitable or proper for a situation","[""suitable"", ""fitting"", ""proper""]","[""inappropriate"", ""unsuitable"", ""wrong""]","[""Wear appropriate clothing for the weather.""]"
approximate,"close to but not exactly","[""rough"", ""estimated"", ""near""]","[""exact"", ""precise"", ""accurate""]","[""The approximate distance is ten miles.""]"
arbitrary,"based on random choice not reason","[""capricious"", ""chance"", ""random"", ""unjustified"", ""unpredictable""]","[""deliberate"", ""justified"", ""logical"", ""planned"", ""reasoned"", ""systematic""]","[""The decision seemed completely arbitrary."", ""The selection seemed arbitrary and unfair."", ""The selection seemed completely arbitrary.""]"
archaic,"very old or old-fashioned","[""ancient"", ""obsolete"", ""outdated""]","[""contemporary"", ""current"", ""modern""]","[""The archaic language was difficult to understand."", ""The law is archaic and needs updating.""]"
ardent,"enthusiastic and passionate","[""enthusiastic"", ""fervent"", ""passionate"", ""zealous""]","[""apathetic"", ""indifferent"", ""lukewarm""]","[""She was an ardent supporter of the cause."", ""She was an ardent supporter of the team.""]"
arduous,"requiring great effort; difficult","[""difficult"", ""strenuous"", ""demanding""]","[""easy"", ""simple"", ""effortless""]","[""The arduous journey took several days.""]"
arrange,"to put things in a particular order","[""organise"", ""order"", ""sort""]","[""scatter"", ""mess up"", ""disorganise""]","[""Please arrange the books on the shelf neatly.""]"
arrive,"to reach a place at the end of a journey","[""reach"", ""come"", ""appear""]","[""leave"", ""depart"", ""go""]","[""We will arrive at the beach by lunchtime.""]"
articulate,"able to express ideas clearly","[""eloquent"", ""expressive"", ""fluent""]","[""inarticulate"", ""mumbling"", ""unclear"", ""vague""]","[""He is very articulate in debates."", ""She gave an articulate presentation."", ""She is very articulate when presenting.""]"
ascend,"to go up or climb","[""climb"", ""rise"", ""mount""]","[""descend"", ""fall"", ""drop""]","[""We watched the balloon ascend into the sky.""]"
ascertain,"to find out for certain","[""discover"", ""determine"", ""establish""]","[""assume"", ""guess"", ""speculate""]","[""We need to ascertain the facts first.""]"
ascetic,"characterised by severe self-discipline","[""austere"", ""self-denying"", ""spartan""]","[""hedonistic"", ""indulgent"", ""luxurious""]","[""The monk lived an ascetic life."", ""The monk lived an ascetic lifestyle.""]"
ashamed,"feeling embarrassed about something you did","[""embarrassed"", ""guilty"", ""sorry""]","[""proud"", ""pleased"", ""confident""]","[""He was ashamed of telling a lie.""]"
aspersion,"an attack on someone's reputation","[""criticism"", ""defamation"", ""slander"", ""slur""]","[""commendation"", ""compliment"", ""praise""]","[""He cast aspersions on her character.""]"
aspiration,"a strong hope or ambition","[""ambition"", ""goal"", ""dream""]","[""apathy"", ""indifference"", ""resignation""]","[""Her aspiration is to become a doctor.""]"
aspire,"to have a strong desire to achieve","[""aim"", ""hope"", ""seek""]","[""abandon"", ""give up"", ""surrender""]","[""She aspires to become a doctor one day."", ""She aspires to become a scientist.""]"
assail,"to attack violently","[""assault"", ""attack"", ""bombard""]","[""defend"", ""protect"", ""shield""]","[""Critics assailed the new policy.""]"
assemble,"to put together or gather","[""gather"", ""collect"", ""construct""]","[""scatter"", ""dismantle"", ""separate""]","[""We need to assemble the furniture.""]"
assent,"agreement or approval","[""agreement"", ""approval"", ""consent""]","[""dissent"", ""disagreement"", ""refusal""]","[""The plan received the committee's assent.""]"
assert,"to state something confidently and forcefully","[""claim"", ""declare"", ""maintain"", ""state""]","[""deny"", ""doubt"", ""question"", ""retract""]","[""He asserted his innocence throughout the trial."", ""She asserted her opinion clearly."", ""She asserted her right to speak at the meeting.""]"
assertion,"a confident statement of fact","[""claim"", ""declaration"", ""statement""]","[""denial"", ""retraction"", ""question""]","[""His assertion was difficult to prove.""]"
